user_id,attr,review_frequency,review_count,review1,review2,review3,review4,review5
5,1,0.001642935,3,0,0,0,2,1
6,1,0.032586558,16,0,12,0,0,4
7,1,0.005084746,6,1,0,0,0,5
8,1,0.00418092,11,6,0,0,0,5
9,1,0.027199556,98,1,0,18,58,21
14,1,0.015625,3,0,0,0,0,3
16,1,0.005765535,9,0,0,0,8,1
18,1,0.001029866,2,0,1,0,0,1
21,1,0.034782609,76,13,0,5,38,20
28,1,0.011725293,14,0,0,0,0,14
32,1,0.007449857,26,0,5,0,9,12
34,1,0.014799154,21,0,3,11,4,3
35,1,0.029850746,80,5,39,13,6,17
36,1,0.010835913,21,18,1,0,0,2
37,1,0.03030303,63,4,50,8,0,1
41,1,0.006165919,11,0,0,0,9,2
42,0,0.031321971,68,7,5,33,9,14
45,1,0.029030993,74,14,28,16,13,3
48,1,0.005938242,20,0,0,17,2,1
52,1,0.010968921,18,6,2,7,2,1
61,1,0.082781457,50,44,3,0,0,3
63,1,0.005877638,22,1,0,5,4,12
69,1,0.00911577,20,3,3,2,5,7
74,1,0.007407407,3,0,0,1,0,2
75,1,0.004734848,15,0,0,0,2,13
77,1,0.395886237,1559,98,90,503,419,449
78,1,0.079241071,213,23,62,57,50,21
80,1,0.009594418,22,0,5,9,1,7
85,1,0.003982081,16,4,5,6,0,1
89,1,0.020634921,65,4,10,7,18,26
97,1,0.005745475,20,4,1,12,1,2
101,1,0.054003724,29,0,20,2,1,6
102,1,0.002654867,3,0,0,0,0,3
104,1,0.019121601,64,3,5,3,34,19
105,1,0.014713896,54,4,17,12,16,5
106,1,0.029578606,73,29,11,0,4,29
107,1,0.000759878,1,-1,-1,-1,-1,-1
108,1,0.01565719,38,2,0,7,19,10
110,1,0.007624398,19,16,0,1,1,1
112,1,0.053787047,147,0,0,71,46,30
114,1,0.019051839,86,5,0,51,0,30
117,1,0.025477707,72,0,4,44,18,6
122,1,0.018662519,36,0,0,27,0,9
123,1,0.052955665,172,139,21,6,1,5
135,1,0.069911963,270,121,26,54,44,25
136,1,0.11281296,383,147,107,35,31,63
139,1,0.004255319,4,0,0,0,0,4
141,0,0.007659167,32,0,0,0,15,17
145,1,0.02166405,69,0,0,3,62,4
146,1,0.062111801,10,0,0,3,2,5
147,1,0.029174426,47,0,0,3,9,35
148,1,0.019120934,77,47,0,4,23,3
150,1,0.020435069,31,11,8,3,6,3
151,1,0.009338094,34,14,10,3,5,2
152,1,0.000698812,1,-1,-1,-1,-1,-1
156,1,0.010760402,15,0,0,0,3,12
161,1,0.00393056,12,0,0,0,0,12
164,1,0.008644401,22,0,0,0,16,6
166,1,0.003116652,7,0,2,1,1,3
172,1,0.017196905,40,13,11,9,4,3
173,1,0.038066865,115,3,1,13,45,53
174,1,0.006864989,12,2,6,1,0,3
175,1,0.040384615,147,1,63,61,13,9
180,1,0.177191907,289,109,77,34,51,18
183,1,0.001552795,3,0,0,0,0,3
186,1,0.020887728,40,0,8,14,15,3
188,1,0.003490955,11,2,2,1,1,5
189,1,0.008446456,28,0,14,11,0,3
192,1,0.002816901,3,0,0,0,2,1
195,1,0.004748714,12,0,2,1,2,7
196,1,0.005655042,6,0,0,0,2,4
199,1,0.121859296,97,35,18,15,13,16
200,1,0.06350314,182,62,56,36,12,16
204,1,0.0076599,20,19,0,0,0,1
205,1,0.125475285,231,10,104,90,9,18
210,1,0.087042532,264,118,65,26,19,36
211,1,0.016286645,55,4,21,29,0,1
218,1,0.01509434,16,3,12,0,0,1
219,1,0.013138686,9,0,0,0,0,9
221,1,0.008488964,20,9,1,4,3,3
222,0,0.143757881,114,61,14,5,23,11
227,1,0.001597444,5,0,0,0,1,4
229,1,0.003568879,10,0,0,3,3,4
234,1,0.00243309,3,0,0,0,0,3
239,0,0.024451939,29,1,0,1,0,27
240,1,0.001657001,4,0,0,1,1,2
245,1,0.156626506,364,116,58,88,38,64
246,1,0.018027572,34,0,1,10,22,1
248,1,0.023159145,78,48,8,9,4,9
252,1,0.023112481,30,25,4,0,0,1
253,1,0.006088721,21,0,0,1,11,9
254,1,0.028156997,33,0,8,0,19,6
256,1,0.014409222,20,0,0,0,0,20
257,1,0.004492363,5,0,0,0,3,2
261,1,0.012537313,21,1,1,0,10,9
264,1,0.226465028,599,43,133,207,145,71
265,1,0.009799744,23,0,8,9,0,6
266,1,0.029041626,90,42,27,15,4,2
267,1,0.007114818,29,0,9,9,9,2
275,1,0.001321004,4,1,0,0,0,3
280,0,0.0155902,28,4,0,16,0,8
283,1,0.012477718,14,0,0,0,0,14
285,1,0.265698852,787,363,214,161,40,9
289,1,0.002302821,4,0,0,0,3,1
291,1,0.016570008,40,1,0,19,14,6
293,1,0.039215686,26,10,6,0,3,7
294,1,0.091979809,328,257,39,9,16,7
295,1,0.029527559,30,2,0,0,7,21
297,1,0.017288444,57,8,23,14,10,2
311,0,0.015104398,34,14,1,1,4,14
314,1,0.011220196,40,8,0,9,13,10
317,1,0.042402827,36,4,12,4,13,3
318,0,0.008614977,13,2,7,3,0,1
322,1,0.025558072,79,31,18,17,11,2
329,1,1,2,1,0,0,0,1
330,1,0.094850949,35,0,0,0,11,24
331,1,0.016998076,53,1,0,6,15,31
332,1,0.012145749,24,2,5,8,7,2
335,1,0.073975342,222,104,66,46,4,2
339,1,0.012044472,39,2,17,18,1,1
341,0,0.003646308,4,0,2,0,0,2
344,1,0.007936508,3,0,0,0,0,3
352,1,0.029357798,48,23,6,2,7,10
355,1,0.181093058,613,52,224,148,128,61
358,1,0.025757576,17,5,0,0,4,8
361,1,0.01264881,17,0,0,0,3,14
365,1,0.003429061,8,0,2,3,1,2
367,1,0.008685906,31,3,0,0,4,24
373,1,0.023364486,25,13,2,4,1,5
374,1,0.018573551,50,0,4,36,8,2
383,1,0.007681229,16,2,12,0,1,1
387,1,0.047778709,114,6,0,33,22,53
388,1,0.028546713,66,1,4,21,33,7
389,1,0.016,6,0,0,0,2,4
390,1,0.003240441,5,1,0,1,0,3
393,0,0.04311612,88,0,20,37,26,5
403,0,0.027447392,30,10,5,2,8,5
406,1,0.015566038,33,0,0,6,4,23
410,1,0.011597084,35,0,21,3,7,4
