user_id,text
1001750,fortunate enough cosmo opening night vacation unfortunate lost wallet night although unbelievably packed night security guard robert garcia best help find it definitely come back urge boyfriend stay next time
1179927,bud work rare find giving estimate backyard job told need anything fancy extravagant asked want backyard exactly wanted estimate detailed itemized know pricing quote transformed backyard something really nice gave fair price awesome job highly recommend him thanks bud assistant job well done
870561,always amazing portobello mushroom sandwich strawberry shortcake delicious portobello sandwich likely smallest item menu item shared waddle out
218921,came breakfast free myvegas point convention something lot asian guest practically everywhere strip buffet crawling screaming child actually almost left view saw beautiful review state maybe right areathe french toast sausage dessert orange juice coffee excellent egg gross especially cheesy one omelette station wish went for great review expect better quality food mediocre food taste fresh which expected buffet spent good chunk morning toilet meal think ill back
218921,excellent experience check incheck counter incredibly friendly staff arrived early told come back 1 theyll see even though 4 check time sure enough room ready room sucked old ugly tub faucet constantly leaked shower pressure good hot water went time told room face fremont street thought awesome view grid back ceiling street wifi included 9 24 hour use insane surprisingly fremont street noise loud enough keep sleeping soundly love coming play blackjack though loud smokey place although whole nonsmoking floor stunk smoke anna excellent fun dealer table game crowd come always great ive played here ill definitely back play never stay
218921,literally everything tried good prime rib pasta although little excessively oily side sweet n sour rice gellato care cake cheesecake rest food got spectacular thing would changed able serve drinksrefills took bit get them server nice happy would definitely try place again
218921,im easy please certainly expect anything incredible buffet matter swanky look went dinner tuesday sadly disappointed food quality variety great thing truly liked prime rib turkey ive better prime rib place vega much food soggy tasted bad rib chicken dry loved able refill drink all buffet server bad refill experience dessert really awful froyo good though definitely want try breakfast buffet back dinner
218921,killer myvegas deal 2 free night chose monte carlo cheapness im pretty easy please come hotel picky expect treated like royalty everywhere need continue reading bed pillow comfortable standard king view tmobile arena not nice room clean house keeping great job like reviewer shower quickly turned bath draining report anything seems issue every room pool renovation although never heard constructionwhich big concern mine made sure put somewhere furthest away it got check room 11ami stay unless get another couple night free here loved fact 5 blackjack every day day great table lack variety slot care buffet either last time tried it looking place center strip basic hotel need you want luxury pampering go somewhere expensive
218921,earned free stay myvegas hope come back day expensive every single staff member within 10 foot radius me greeted genuine interest passing housekeeper going elevator always acknowledge asked doing place amazing hope come again
529331,apartment search time crunch needed move within 3 week within limited area place beat rest area amount apartment get price utility included rent mean le control temperature apartment thermostat work fine heat ac pump quite efficiently laundry room common area clean well maintained hot tub open jet worked month this make sad management company refurbished one pool back functionalupon movein thing pointed needed attention battery smoke detector missing fire extinguisher broken bathroom fan addressed fixed within half hour impressivethere online option paying rent credit card with fee echeck no fee pet deposit reasonable 2 pet one deposit combined pet rent thats reasonable furbaby adjusted wellfree wifi office make otis spunkmeyer cooky fresh office every day yum
529331,broke glass cleanly half work tuesday night quite nearsighted really cant function without taped back together finished last half hour shift carefully drove home wednesday morning called desert view vision explained work hour needed help quickly told come right in walked door broken taped glass face wonderful optician angelina assured would take good care would leaving broken glass full retina scan coolest machine ever thorough exam dr lang determined new prescription i well overdue fit contact lens changing one eye quite perfect yet whole office put ease took good care me angelina helped eyeglass frame muchneeded style update going let frame unflattering whole process fun remember last time laughed much shopping contact lens figured set angelina told would put phone call folk see could speed order could glass sooner rather later said id hearing early next week like monday tuesday called morning friday tell in wow may called favor get fast gratefuli followup appointment next week recheck fit contact may bring nice folk something special thank you really saved me
529331,im karaoke diva quite place karaoke wound new housemate invited me ok paid cover get in luckily got cover started or perhaps plunging neckline looked good look nightthe karaoke host bit full fact take opportunity steal spotlight singing ok guy fine own ask sing harmony put mic turn stop telling everyone drink make obvious get paid percentage bar tab drink alcohol diet coke cherry top like put show please thank you even killer drink special make difference me fact make drunk stupider even quickly sober designated driver sometimes kill good timethe song selection touch screen well organized trying find standard song near impossible without help help got another singer folk running thing id rather deal human machine fella stop checking prettyboy look mirror connect singer outside theyre onstage machine save song choice prior evening quick list sing song every week make easieri thread club side go smoking patio music ok though crowd seem enthusiastic folk friendly enough ive experienced better karaoke better atmosphere better crowd several place far awaygoing back tonight roommate friend like place update follow
529331,discovered gem month back time new page yet raised nj land good mom pop pizza parlor every street corner by italian mother le previously felt distraught goto pizza place desert mean friday night pizza go together unfortunately phoenix seemed matter people tried get right i swear water saw now open sign road route take work every day stop in moral imperativeupon walking door smell garlic fresh tomato sauce washed me felt like back dear departed italian grandmother kitchen got initial olfactory bliss warmly welcomed owner family crew treated like honored guest new friend seriously never wanted leavei ordered slice sausage grabbed soda case 2 slice soda 450 good deal sure saw garlic knot menu some turn johnny put anyway could try them sweet nothing prepared nearly orgasmic taste garlic knot dipped best marinara which correctly pronounced mahrhinaaahtha raised sicilian say ever besides grandmother sorry mom lose like earth shattering orgasm cant fake quality ingredient either ol pizzeria quality there oh yes yes yes found new addiction 295 5 precious lump doughy garlicky yumminess steal tried meat lover pizza oh worth price personal favorite entree calzone sausage bacon or meatball bacon also wing great price eat wing worth noting pizza wing pizza wing special yet tried pasta dish hot cold sub hoagy grinder hero whatever call them im looking forward delivery area limited 10 minimum order 2 delivery charge far im concerned 11pm friday night drive pick priceless brought many people agreed exaggerate gushing place one come back without nerve food really good even way work even service mediocre id pilgrimage food happily service consistently great owner store every day great smile genuine care customer personable fun crew back price beyond reasonable small cafe vibrant color red white checkered vinyl tablecloth funky old school metal plate art decor wall remind grandma chatchkas could rate place le 5 star
529331,foodie friend brought lunch friday valet parking free though place busy ridiculous meandered though odd eclectic selection wine cheese candy candle notecards thing deciding eat wound stacked turkey sandwich they 9 grain bread havarti avocado mango tea found held table friend waited food come out seating hard find even though place busy everything fresh tasty ambiance good clientele obnoxious nobody sneered 2 fat lesbian enjoying meal anything hometown hipster everyone complains sneer took half sandwich home box friend also took yummy cooky sweet home too ill come back pastry sometime
529331,searching yelp late one weeknight work burnt out slightly hormonal feel like cooking seem much open 11pm open now dick hideaway popped review intriguing goso went knowing sign wed look closely find it sure enough almost walked right by inside delighted crackling fire real wood burning thick wood top table bartop quaint small thought shoulder shoulder people happy hour made twitch scene like peace quiet elbow room much perfect missed busy time night server full attention asked question got history tiny holeinthewall place former overflow outlet richardson restaurant burned july 2009 menu bit overwhelming me new mexico style food because wanted one everything server brought u appetizer plate even menu 3 large bacon wrapped scallop seasoned blackened without rubbery overdone rice bean 4 different sauce flavor distinct one different others layer flavor fell love even need order anything else eye always bigger stomach need go back soon try stuff actually is menu id like catch another off time crowded noisy
